process,n_run2,n_run3,n_folds,mean_auc,std_auc,ci_lo,ci_hi
SingleH,11124,38425,3,0.5743423223019017,0.015286701859579468,0.5590716712961864,0.5883947781333029
VVV,14028,40254,3,0.572613996875333,0.00567011275597278,0.5654108112226125,0.5801805812327514
Zjets,141863,157073,3,0.5598774648289556,0.0022373694593847988,0.5537321995378716,0.5655191880638966
Wjets,31272,39061,3,0.5491149161223372,0.008449531897539612,0.5357130099252122,0.562397916732885
ttbar,7335,40832,3,0.5398795106363358,0.002900031811081638,0.5308894378034013,0.548800701483282
tops,62238,161226,3,0.5373773544410514,0.004618296524524682,0.5169107693588301,0.5582358140960304
Diboson,312600,628676,3,0.5354659056822596,0.0007429704193250193,0.5331496017439212,0.5378975627195188
signal_ggF,67075,191580,3,0.534242641191566,0.0017943782600790903,0.5316705584591963,0.5369265855362316
Vgamma,21510,14295,3,0.5255451873936957,0.01361491032319669,0.5007098891017123,0.5502984678277695
signal_VBF,21639,13470,3,0.5072378325639213,0.0017510002623841393,0.5004133732029754,0.514167328176755
